ID;Last_Name;First_Name;Middle_Name;Login;Password;Role_ID
1;Ворсин;Петр;Евгеньевич;94d5ous@gmail.com;uzWC67;1
2;Старикова;Елена;Павловна;uth4iz@mail.com;2L6KZG;1
3;Одинцов;Серафим;Артёмович;yzls62@outlook.com;JlFRCZ;1
4;Степанов;Михаил;Артёмович;1diph5e@tutanota.com;8ntwUp;2
5;Ворсин;Петр;Евгеньевич;tjde7c@yahoo.com;YOyhfR;2
6;Старикова;Елена;Павловна;wpmrc3do@tutanota.com;RSbvHv;2
7;Михайлюк;Анна;Вячеславовна;5d4zbu@tutanota.com;rwVDh9;3
8;Ситдикова;Елена;Анатольевна;ptec8ym@yahoo.com;LdNyos;3
9;Никифорова;Весения;Николаевна;1qz4kw@mail.com;gynQMT;3
10;Сазонов;Руслан;Германович;4np6se@mail.com;AtnDjr;3
